id_ec,tx_empresa
6ff37de52d76d3e98876e2ace3bb34ee,0.03
1bc6b20fc2c4394015ea2dbeb249ae1d,0.04
749ec497a91b8a5b69254e0e6144428b,0.05
5a162c3367da6e669ee10389842b469d,0.04
80e08cfca9a7f610579b86c759e5df4b,0.02
6ebef06ca8fb58261fd1fcd4925e2366,0.03
7769bf8fd024aade4c9b0cd912459e17,0.03
2d4216771ddfe783a5ad31c805c0fd14,0.04
31cae30984dc04bf9da10253b9bafc4d,0.04
f7c45693c7f86984fbe0ef5fa560e712,0.02
0809ff21e82bd604e93536671347c44e,0.03
c6c36f01f0980ff10b45ee38cb78a18d,0.03
1635cc0a37e1694e997ed201c40fc37c,0.03
0e823f7c36f80ffb31f3c8049ef4f221,0.04
75cfaefee33a9ee468845e91da90725f,0.02
0cee458106b5d73bf3643cd81f9a8fab,0.04
f31b2443a0cd129151ceb4a980146344,0.05
5f3960205e04b74c1a899f28fe66dd8f,0.04
c70cb96080b6649bb500892cfd81b9fb,0.04
b5cb8deeb2a792dbf07c44121dee971d,0.04
d7ed769bada2901e506221bbfa52ceb1,0.02
7f3314e181c0fbe8745c5e8e7cc9976d,0.03
0fbb2e97548f2f55d7b6d644ff0d8e5b,0.03
8e2a110c40ff00d421c518b5617c3fbd,0.04
ab6db0a6ae8ec22fae78e79c17659e61,0.04
281cec7387a36bb757df4c2c75c72d30,0.05
b4b26b2265e687febfd9b428b831d241,0.03
663973f6120c418d57c3a3e9ac1fd48e,0.03
9ea1f07bc9b47c6d17b2ab0cec358b67,0.04
236aeed389d9a58d320ebf2c3698985d,0.03
aec6286211b83823826d33986a861a31,0.03
e719e3a479794bc7eb1ac896d1990e18,0.05
c6678f9ce40c2b81cc062fd7c2172bba,0.05
5ed2789e36a50f8f91a158a414869524,0.02
ee9b27ffab98fcca9151e7531aba0e5e,0.02
99d3e4faf2cf5e706e8a798247a139ed,0.03
bfc3df83029b00385aec5a61097b508a,0.04
bb4d24571cc1751df2ef8e6070523531,0.05
82081802dfd92eb30417228d4f06e514,0.02
0eaae018bdd4df2ad1c181c9d7078abc,0.03
e86f20226ca0ab50f9f55dc38b4510bd,0.03
36cb8b6c78567907ee1b0d147dd859fa,0.04
96c0443cb23e5fe138cff6457e75d109,0.02
b4ab30b7b82509f234e5c9e41d11f139,0.04
9f4b6c0e1daf4a8f1b451a85d0d21cb0,0.05
15e759b5f0a7c6c369ce7df233cac777,0.04
e4835aebec6950ac21cdb98869aa41a7,0.03
c08ceb076e37c597ac20de9d893b5c3e,0.05
cc32cc96d32febcdc3b09b9ac314ffec,0.03
c78116b402e1a7a1b99ecbe135963b7b,0.05
8bf5a933b9331cea8080400a1db4df49,0.05
710831cf56f1cb6b4e0fef6dff9e25b0,0.05
98701b7d491560edb2e1ce11453e1af9,0.03
1a49a2bccfa7c317c269cddcf0a2947d,0.04
994373b243fcb4881945705bdbfa098d,0.05
414de84be8c77203c209270b0fde2cf3,0.03
baa9a9ecc0eb0617fafca3b52594acd1,0.04
afc820d2d6ea52ce636687e10b4fd62d,0.03
97882db17936d310d5d461d84181756f,0.03
447eab05831121b92c6d62e099e1423c,0.02
e6a37cb86079efbeb8bfdc4cde35ffde,0.04
89ed156cd52e0820694ce1ffe49399ec,0.05
81b31a317af8da74f3870e07f35c43a1,0.04
