id_trabalhador,aceita_recomendacao,aceita_termo,dat_nascimento,dsc_idade,dsc_sexo
c9b2b16a5d774ce9ba726909b6456f3e,0,0,1984-01-06,41,Não informado
7fd47ec4f5f986170f51186c88bf6bd4,1,1,1985-04-15,40,Masculino
809a654e7015b5e3b98a367db1be5ea3,1,1,1971-12-27,53,Não informado
add3573dd7516f8f7689923ec03be7a9,1,1,1967-03-20,58,Não informado
ee4fd01f1597d26c43519d707cd601d6,1,1,1972-07-14,52,Feminino
a51aa951e025f607d5b906e56e1ae249,1,1,1969-04-25,56,Não informado
ac5b4f1746a8ba26c2b552a3a16d40cf,0,0,1983-03-20,42,Não informado
df8986f2ef67e5e4422dd1bd4e77b2be,1,1,1980-10-18,44,Não informado
2fdfa7949c1e9b8a215625b57839d626,1,1,1983-12-31,41,Não informado
e2fda15055d8b05319e9533dcb0ff9c1,1,1,1991-01-10,34,Não informado
17ceee1cceaefa7c53f1bffe37c28be2,1,1,1998-02-19,27,Não informado
45d65358dd5a8023b2e8970bcc240b2a,1,1,1982-04-21,43,Não informado
f40df0ff3f4c51d1f4075bf4b603b917,1,1,1978-08-02,46,Masculino
7030a83da2f1c08e17699588e882a841,1,1,2001-09-27,23,Masculino
58b7c5c524a319bead2dc3a44ff96aaa,1,1,1983-06-29,41,Não informado
a4cddaae8306fcba56de6c4049746370,1,1,1971-10-03,53,Não informado
5066533e7671d77c4b59d0f86f94c069,0,0,1976-09-03,48,Não informado
1a6489c3556359c051a465516cfc3951,0,0,1963-05-24,61,Não informado
fa6a78e268ab505ef623f86868ae40b1,1,1,1960-04-26,65,Masculino
5e018f9732a4e1c9783d95892f026c97,1,1,1968-07-25,56,Não informado
0d0c1e1921f1655dddd4a982268b391a,1,1,1968-08-28,56,Não informado
8a4102ca624b519be36545510e270602,1,1,1975-05-10,50,Masculino
de21911486ad47db5299e996568531cd,0,0,1995-06-11,29,Não informado
21777da6f775ff48ccb2f2a0a5732787,0,0,1981-02-18,44,Não informado
4cc0befdde5ff13fd030582e6fb12168,0,0,1964-12-11,60,Masculino
78bf5e3734c2f6d2b20274ee57583ada,1,1,1988-04-21,37,Não informado
5d94127c18ad73d74272a6a40ec532f1,1,1,1988-08-15,36,Não informado
ef77e02ac452d8edcce4d4c957dfbe20,1,1,1994-03-04,31,Não informado
396af18ba8ca48bab1544ce9b773bfe4,1,1,1973-12-31,51,Não informado
b5a20f761179104b94f44ceaebff421b,1,1,1969-11-29,55,Feminino
ceba85eff680f60f83d3e5a5401ec2f2,1,1,2004-03-12,21,Não informado
fc49ec7d61312016a2324910e56c219c,1,1,1978-09-08,46,Feminino
d3ee03da0f92a322c0924fff686029ff,1,1,1968-11-04,56,Não informado
5d69ad9bc5f48991a6f6a433af3f5558,0,0,1982-06-30,42,Não informado
fb40e20fb9a73e0d605d21428aae8756,1,1,1966-08-07,58,Não informado
02df09b8a02d7b0589cc248fbb52c644,1,1,1998-12-17,26,Feminino
cfa466f4b604eaedae1ed3b4e59b1882,1,1,1967-12-26,57,Não informado
7a7b72c8b3e5ee2f15332a0b48d8034e,1,1,1985-11-19,39,Não informado
058239f4f20ff2f82058ddd433a28561,0,0,1988-02-28,37,Não informado
83f8e3b053c256b3863acff5a0c412a9,0,0,1972-10-27,52,Não informado
81d1e5e1904398bdfeac50f519c383f7,0,0,1987-01-06,38,Não informado
8b2b9f8dffc21abc2f08abefcfac7c84,1,1,1966-01-22,59,Não informado
0a15626fbb3e7c3bff36be8c385e4222,1,1,1961-07-06,63,Feminino
4a1b3d8f53239b1807759ae7c076944c,1,1,2007-07-05,17,Feminino
9d708b867edb6e5584a032d208cb3ceb,1,1,1968-05-17,57,Não informado
72f895400acdbba6136ec2634eee8c6f,1,1,1975-02-16,50,Feminino
be2beac82f2e5afb8a5a65b1a0518363,0,0,1979-11-04,45,Não informado
0d919609f789ab68ad17dae35897fbde,0,0,1991-09-25,33,Não informado
7700fdbf927ae4cff543ccdd2abce1df,0,0,1967-12-20,57,Não informado
d43cb1846d4a94953620bf9a3d5187e9,1,1,1983-01-18,42,Não informado
3000d73e0c71bc838ddaa27d5959efcf,1,1,1955-10-18,69,Não informado
15d22bd3d4a85f3f30c59cc1e5b13528,1,1,1977-08-30,47,Não informado
18b777a6603c6f8ebb044e3634e4c2a4,1,1,1964-07-11,60,Feminino
58e338828f21bbf1c50a6ae2f204b2f8,1,1,1967-08-18,57,Não informado
7aae05a90ab203c62208434dce4865b8,1,1,1989-01-30,36,Não informado
0308bcd9f76910ccf09eca0eaea0b4c5,1,1,1973-07-01,51,Não informado
97d4a271773823e68f258830e4b05d68,1,1,1990-02-01,35,Não informado
687a3e53acd20ac17f23570ce1503847,1,1,1972-03-29,53,Não informado
8e4cf842090fb6cf3fc925d4ebb62152,1,1,1983-07-23,41,Não informado
90fb84e46e4be35f7f3fce1cf64af039,1,1,1984-01-05,41,Não informado
50714ed26662c6ed8ebf7a60eb35f33b,0,0,1991-06-20,33,Masculino
798d851482ef85ea41771dbaa01f875b,0,0,1988-05-02,37,Não informado
1562d19405b90bcf9f75e7b8cfcba543,0,0,1991-06-29,33,Feminino
983660fdbd2dfcf3389427c47508fb50,0,0,1959-10-07,65,Não informado
